Customer_ID,Total_Transactions,Avg_Transaction_Amount,Avg_Satisfaction_Score,Avg_Likelihood_to_Recommend,Mode_Transaction_Type,Mode_Transaction_Amount_Segment,PC1,PC2,KMeans_Cluster,Customer_Segment
1,6,2806.0,10.0,9.0,Bill Payment,High Transaction Amount,1.773298007803159,-0.27996085140581134,2,High-Engagement / Negative Sentiment
2,2,2453.5,3.0,3.0,Bill Payment,Medium Transaction Amount,-0.8541147247179983,-0.0843443552624583,3,Low-Engagement / Positive Sentiment
3,1,1538.0,10.0,1.0,Bill Payment,Medium Transaction Amount,-0.5789085227358926,2.1423833513077635,0,High-Engagement / Positive Sentiment
4,2,4147.5,7.0,4.0,Purchase,Medium Transaction Amount,-0.6539160123610851,0.6706164825192528,3,Low-Engagement / Positive Sentiment
5,5,2959.6,8.0,7.0,Purchase,Medium Transaction Amount,0.26042534316980276,0.18269918949775166,0,High-Engagement / Positive Sentiment
6,3,2898.0,3.0,1.0,Loan Payment,Medium Transaction Amount,-0.47139067575559995,0.3591255013457029,3,Low-Engagement / Positive Sentiment
7,2,1786.0,3.0,2.0,Loan Payment,Low Transaction Amount,-1.9199639937338264,0.6342908163250807,3,Low-Engagement / Positive Sentiment
8,6,2042.0,7.0,5.0,Loan Payment,Low Transaction Amount,-0.46219728197140236,0.8824127735430856,0,High-Engagement / Positive Sentiment
9,8,2165.0,10.0,9.0,Investment,Low Transaction Amount,0.18834140532142038,0.65521209113013,0,High-Engagement / Positive Sentiment
10,6,2613.6666666666665,7.0,1.0,Bill Payment,Medium Transaction Amount,0.8216143677330239,1.3274257387135384,0,High-Engagement / Positive Sentiment
11,1,4993.0,9.0,4.0,Bill Payment,High Transaction Amount,0.2981588556475597,0.6997218171037927,0,High-Engagement / Positive Sentiment
12,5,3083.0,6.0,3.0,Bill Payment,Medium Transaction Amount,0.33729338041368895,0.6253887741921418,0,High-Engagement / Positive Sentiment
13,9,2054.4444444444443,7.0,5.0,Bill Payment,Medium Transaction Amount,1.6192185865323716,0.35704804812978574,2,High-Engagement / Negative Sentiment
14,7,2763.8571428571427,10.0,5.0,Bill Payment,Medium Transaction Amount,1.1906698194136816,1.1325464795466513,0,High-Engagement / Positive Sentiment
15,8,3120.3125,1.0,10.0,Bill Payment,High Transaction Amount,1.7193863352212082,-2.786573531438194,2,High-Engagement / Negative Sentiment
16,8,3570.375,7.0,2.0,Investment,High Transaction Amount,2.4360336912848597,0.5456434080823137,2,High-Engagement / Negative Sentiment
17,5,2896.8,2.0,5.0,Investment,Medium Transaction Amount,-0.11343063083805818,-0.866998261909865,1,Low-Engagement / Negative Sentiment
18,4,2018.5,7.0,9.0,Purchase,Medium Transaction Amount,-0.22389564414953217,-0.5193377750236449,1,Low-Engagement / Negative Sentiment
19,3,2309.6666666666665,3.0,5.0,Bill Payment,Medium Transaction Amount,-0.6173083025433619,-0.5629566703581079,1,Low-Engagement / Negative Sentiment
20,1,4408.0,9.0,10.0,Loan Payment,High Transaction Amount,0.008151721058125715,-0.7054922847083795,1,Low-Engagement / Negative Sentiment
21,6,2365.0,5.0,2.0,Investment,Medium Transaction Amount,0.5607721538066368,0.5672298703844363,0,High-Engagement / Positive Sentiment
22,3,2480.0,7.0,7.0,Loan Payment,Low Transaction Amount,-1.5213563575970679,0.45641270001724815,3,Low-Engagement / Positive Sentiment
23,10,1949.05,8.0,6.0,Purchase,Medium Transaction Amount,1.9239746915578995,0.3496635148870844,2,High-Engagement / Negative Sentiment
24,4,4133.5,2.0,7.0,Bill Payment,High Transaction Amount,0.6273429264278855,-1.7860416376029336,1,Low-Engagement / Negative Sentiment
25,4,3179.75,1.0,8.0,Purchase,Medium Transaction Amount,-0.6191711315747339,-1.7849927689359655,1,Low-Engagement / Negative Sentiment
26,4,2256.5,7.0,10.0,Purchase,Low Transaction Amount,-1.348477587677683,-0.2573255204367207,3,Low-Engagement / Positive Sentiment
27,6,34529.0,6.0,5.0,Bill Payment,Medium Transaction Amount,0.5740998025883252,0.146776459096492,2,High-Engagement / Negative Sentiment
28,7,2998.1428571428573,6.0,2.0,Loan Payment,High Transaction Amount,2.0814057950788745,0.32823406111772907,2,High-Engagement / Negative Sentiment
29,3,1417.6666666666667,2.0,7.0,Purchase,Low Transaction Amount,-1.907414836683701,-0.7946374290427382,3,Low-Engagement / Positive Sentiment
30,9,2531.222222222222,3.0,7.0,Bill Payment,Low Transaction Amount,0.15846552449122014,-0.6125924054775007,1,Low-Engagement / Negative Sentiment
31,6,2493.6666666666665,4.0,8.0,Bill Payment,Medium Transaction Amount,0.29703305298752586,-1.0508739633796094,1,Low-Engagement / Negative Sentiment
32,9,3217.5555555555557,3.0,7.0,Bill Payment,High Transaction Amount,2.3204444592720828,-1.6020761693545462,2,High-Engagement / Negative Sentiment
33,3,1923.6666666666667,2.0,10.0,Investment,Medium Transaction Amount,-0.979375760426807,-2.00434027788295,1,Low-Engagement / Negative Sentiment
34,6,2674.1666666666665,3.0,7.0,Purchase,Medium Transaction Amount,0.21869341465077702,-1.079107721947967,1,Low-Engagement / Negative Sentiment
35,3,2844.3333333333335,6.0,9.0,Bill Payment,Medium Transaction Amount,-0.5722442253127795,-0.7446828691325419,1,Low-Engagement / Negative Sentiment
36,9,2732.777777777778,9.0,8.0,Investment,High Transaction Amount,2.6447595300962576,-0.36442587599842324,2,High-Engagement / Negative Sentiment
37,6,1969.6666666666667,4.0,2.0,Bill Payment,Medium Transaction Amount,0.5585879098138435,0.3455038007299809,0,High-Engagement / Positive Sentiment
38,9,2924.3333333333335,6.0,2.0,Bill Payment,Medium Transaction Amount,1.6768513543517103,0.8055061599739278,2,High-Engagement / Negative Sentiment
39,10,2620.2,1.0,7.0,Loan Payment,Medium Transaction Amount,1.38870476738097,-1.628785225932365,2,High-Engagement / Negative Sentiment
40,4,1627.75,6.0,10.0,Purchase,Medium Transaction Amount,-0.34063278088107196,-1.0017981725858964,1,Low-Engagement / Negative Sentiment
41,4,4061.5,3.0,10.0,Purchase,High Transaction Amount,0.5209227047278987,-2.2457323651563783,1,Low-Engagement / Negative Sentiment
42,4,2283.0,9.0,3.0,Purchase,Medium Transaction Amount,0.183948533864426,1.3765015295072511,0,High-Engagement / Positive Sentiment
43,5,1010.0,4.0,1.0,Purchase,Low Transaction Amount,-0.8515879097695919,1.0748957547032516,3,Low-Engagement / Positive Sentiment
44,4,2288.25,7.0,9.0,Bill Payment,Medium Transaction Amount,-0.17510819026888397,-0.5081051593143417,1,Low-Engagement / Negative Sentiment
45,4,2777.25,4.0,3.0,Investment,Low Transaction Amount,-1.2849371992154852,0.6058174755456135,3,Low-Engagement / Positive Sentiment
46,7,1187.142857142857,6.0,1.0,Purchase,Low Transaction Amount,-0.05731583968180048,1.5480511743396517,0,High-Engagement / Positive Sentiment
47,8,2457.875,7.0,6.0,Investment,Medium Transaction Amount,1.18067431934355,0.10946678061444284,2,High-Engagement / Negative Sentiment
48,4,2839.25,2.0,4.0,Purchase,Medium Transaction Amount,-0.37165656643003536,-0.6043434893189189,1,Low-Engagement / Negative Sentiment
49,3,2225.3333333333335,10.0,1.0,Purchase,Low Transaction Amount,-1.0607026951068215,2.5995864967520763,0,High-Engagement / Positive Sentiment
50,6,1288.3333333333333,6.0,4.0,Bill Payment,Low Transaction Amount,-0.4632971886643865,0.874247968386613,0,High-Engagement / Positive Sentiment
51,6,2259.5,8.0,8.0,Purchase,Medium Transaction Amount,0.5408242414821586,-0.06318349824629978,2,High-Engagement / Negative Sentiment
52,8,2952.375,6.0,7.0,Bill Payment,Medium Transaction Amount,1.134897599213037,-0.34498891639161094,2,High-Engagement / Negative Sentiment
53,5,3308.0,5.65439672801636,1.0,Purchase,High Transaction Amount,1.4314013121695541,0.4985657599477165,2,High-Engagement / Negative Sentiment
55,6,3307.8333333333335,1.0,9.0,Purchase,Medium Transaction Amount,-0.01478085881230268,-2.04402851707247,1,Low-Engagement / Negative Sentiment
56,5,2301.5,7.0,6.0,Purchase,Medium Transaction Amount,0.23087315871370215,0.16569804663869683,0,High-Engagement / Positive Sentiment
57,2,1285.0,8.0,2.0,Bill Payment,Low Transaction Amount,-1.5257884130016088,1.8917810050809283,3,Low-Engagement / Positive Sentiment
58,4,1572.0,10.0,3.0,Bill Payment,Medium Transaction Amount,0.30588064833889445,1.6374649154272074,0,High-Engagement / Positive Sentiment
59,8,25615.8125,2.0,7.0,Loan Payment,High Transaction Amount,1.8948561464650706,-1.8474902168753282,2,High-Engagement / Negative Sentiment
60,2,1392.0,10.0,3.0,Purchase,Low Transaction Amount,-1.471879021832336,2.147280302441333,3,Low-Engagement / Positive Sentiment
61,2,924.0,5.0,3.0,Purchase,Low Transaction Amount,-1.8376023248014373,0.8986264513880675,3,Low-Engagement / Positive Sentiment
62,5,1422.4,8.0,5.0,Purchase,Low Transaction Amount,-0.7333791719451893,1.1429003261394708,3,Low-Engagement / Positive Sentiment
63,4,2130.875,8.0,3.0,Bill Payment,Medium Transaction Amount,0.15959132715125396,1.138003375005901,0,High-Engagement / Positive Sentiment
